key,value,date
RC,0.07,01/12
RC,0.02,02/12
RC,0.17,03/12
RC,0.33,04/12
RC,0.4,05/12
RC,0.32,06/12
RC,0.26,07/12
RC,0.35,08/12
RC,0.4,09/12
RC,0.32,10/12
RC,0.26,11/12
RC,0.22,12/12
RC,0.16,01/13
RC,0.22,02/13
RC,0.1,03/13
RC,0.1,04/13
RC,0.15,05/13
RC,0.35,06/13
RC,0.38,07/13
RC,0.22,08/13
RC,0.16,09/13
RC,0.07,10/13
RC,0.02,11/13
RC,0.17,12/13
RC,0.33,01/14
RC,0.4,02/14
RC,0.32,03/14
RC,0.26,04/14
RC,0.35,05/14
RC,0.4,06/14
RC,0.32,07/14
RC,0.26,08/14
RC,0.22,09/14
RC,0.16,10/14
RC,0.22,11/14
RC,0.1,12/14
RC,0.1,01/15
RC,0.15,02/15
RC,0.35,03/15
RC,0.38,04/15
RC,0.22,05/15
RC,0.16,06/15
RC,0.07,07/15
RC,0.02,08/15
RC,0.17,09/15
RC,0.33,10/15
RC,0.4,11/15
RC,0.32,12/15
RC,0.26,01/16
RC,0.35,02/16
RC,0.4,03/16
RC,0.32,04/16
RC,0.26,05/16
RC,0.22,06/16
RC,0.16,07/16
RC,0.22,08/16
RC,0.1,09/16
RC,0.15,10/16
RC,0.35,11/16
RC,0.38,12/16
CG,0.1,07/11
CG,0.15,08/11
CG,0.35,09/11
CG,0.38,10/11
CG,0.22,11/11
CG,0.16,12/11
CG,0.07,01/12
CG,0.02,02/12
CG,0.17,03/12
CG,0.33,04/12
CG,0.4,05/12
CG,0.32,06/12
CG,0.26,07/12
CG,0.35,08/12
CG,0.4,09/12
CG,0.32,10/12
CG,0.26,11/12
CG,0.22,12/12
CG,0.16,01/13
CG,0.22,02/13
CG,0.1,03/13
CG,0.1,04/13
CG,0.15,05/13
CG,0.35,06/13
CG,0.38,07/13
CG,0.22,08/13
CG,0.16,09/13
CG,0.07,10/13
CG,0.02,11/13
CG,0.17,12/13
CG,0.33,01/14
CG,0.4,02/14
CG,0.32,03/14
CG,0.26,04/14
CG,0.35,05/14
CG,0.4,06/14
CG,0.32,07/14
CG,0.26,08/14
CG,0.22,09/14
CG,0.16,10/14
CG,0.22,11/14
CG,0.1,12/14
CG,0.1,01/15
CG,0.15,02/15
CG,0.35,03/15
CG,0.38,04/15
CG,0.22,05/15
CG,0.16,06/15
CG,0.07,07/15
CG,0.02,08/15
CG,0.17,09/15
CG,0.33,10/15
CG,0.4,11/15
CG,0.32,12/15
CG,0.26,01/16
CG,0.35,02/16
CG,0.4,03/16
CG,0.32,04/16
CG,0.26,05/16
CG,0.22,06/16
CG,0.16,07/16
CG,0.22,08/16
CG,0.1,09/16
CG,0.15,10/16
CG,0.35,11/16
CG,0.38,12/16
RI,0.1,07/11
RI,0.15,08/11
RI,0.35,09/11
RI,0.38,10/11
RI,0.22,11/11
RI,0.16,12/11
RI,0.07,01/12
RI,0.02,02/12
RI,0.17,03/12
RI,0.33,04/12
RI,0.4,05/12
RI,0.32,06/12
RI,0.26,07/12
RI,0.35,08/12
RI,0.4,09/12
RI,0.32,10/12
RI,0.26,11/12
RI,0.22,12/12
RI,0.16,01/13
RI,0.22,02/13
RI,0.1,03/13
RI,0.1,04/13
RI,0.15,05/13
RI,0.35,06/13
RI,0.38,07/13
RI,0.22,08/13
RI,0.16,09/13
RI,0.07,10/13
RI,0.02,11/13
RI,0.17,12/13
RI,0.33,01/14
RI,0.4,02/14
RI,0.32,03/14
RI,0.26,04/14
RI,0.35,05/14
RI,0.4,06/14
RI,0.32,07/14
RI,0.26,08/14
RI,0.22,09/14
RI,0.16,10/14
RI,0.22,11/14
RI,0.1,12/14
RI,0.1,01/15
RI,0.15,02/15
RI,0.35,03/15
RI,0.38,04/15
RI,0.22,05/15
RI,0.16,06/15
RI,0.07,07/15
RI,0.02,08/15
RI,0.17,09/15
RI,0.33,10/15
RI,0.4,11/15
RI,0.32,12/15
RI,0.26,01/16
RI,0.35,02/16
RI,0.4,03/16
RI,0.32,04/16
RI,0.26,05/16
RI,0.22,06/16
RI,0.16,07/16
RI,0.22,08/16
RI,0.1,09/16
RI,0.15,10/16
RI,0.35,11/16
RI,0.38,12/16
