key,value,date
CG,0.07,03/12
CG,0.07,04/12
CG,0.07,05/12
CG,0.07,06/12
CG,0.26,07/12
CG,0.26,08/12
CG,0.26,09/12
CG,0.26,10/12
CG,0.26,11/12
CG,0.26,12/12
CG,0.16,01/13
CG,0.16,02/13
CG,0.16,03/13
CG,0.16,04/13
CG,0.16,05/13
CG,0.16,06/13
CG,0.38,07/13
CG,0.38,08/13
CG,0.38,09/13
CG,0.38,10/13
CG,0.38,11/13
CG,0.38,12/13
CG,0.33,01/14
CG,0.33,02/14
CG,0.33,03/14
CG,0.33,04/14
CG,0.33,05/14
CG,0.33,06/14
CG,0.32,07/14
CG,0.32,08/14
CG,0.32,09/14
CG,0.32,10/14
CG,0.32,11/14
CG,0.32,12/14
CG,0.1,01/15
CG,0.1,02/15
CG,0.1,03/15
CG,0.1,04/15
CG,0.1,05/15
CG,0.1,06/15
CG,0.07,07/15
CG,0.07,08/15
CG,0.07,09/15
CG,0.07,10/15
CG,0.07,11/15
CG,0.07,12/15
CG,0.26,01/16
CG,0.26,02/16
CG,0.26,03/16
CG,0.26,04/16
CG,0.26,05/16
CG,0.26,06/16
CG,0.16,07/16
CG,0.16,08/16
CG,0.16,09/16
CG,0.16,10/16
CG,0.16,11/16
CG,0.16,12/16
RI,0.1,07/11
RI,0.1,08/11
RI,0.1,09/11
RI,0.1,10/11
RI,0.1,11/11
RI,0.1,12/11
RI,0.07,01/12
RI,0.07,02/12
RI,0.07,03/12
RI,0.07,04/12
RI,0.07,05/12
RI,0.07,06/12
RI,0.26,07/12
RI,0.26,08/12
RI,0.26,09/12
RI,0.26,10/12
RI,0.26,11/12
RI,0.26,12/12
RI,0.16,01/13
RI,0.16,02/13
RI,0.16,03/13
RI,0.16,04/13
RI,0.16,05/13
RI,0.16,06/13
RI,0.38,07/13
RI,0.38,08/13
RI,0.38,09/13
RI,0.38,10/13
RI,0.38,11/13
RI,0.38,12/13
RI,0.33,01/14
RI,0.33,02/14
RI,0.33,03/14
RI,0.33,04/14
RI,0.33,05/14
RI,0.33,06/14
RI,0.32,07/14
RI,0.32,08/14
RI,0.32,09/14
RI,0.32,10/14
RI,0.32,11/14
RI,0.32,12/14
RI,0.1,01/15
RI,0.1,02/15
RI,0.1,03/15
RI,0.1,04/15
RI,0.1,05/15
RI,0.1,06/15
RI,0.07,07/15
RI,0.07,08/15
RI,0.07,09/15
RI,0.07,10/15
RI,0.07,11/15
RI,0.07,12/15
RI,0.26,01/16
RI,0.26,02/16
RI,0.26,03/16
RI,0.26,04/16
RI,0.26,05/16
RI,0.26,06/16
RI,0.16,07/16
RI,0.16,08/16
RI,0.16,09/16
RI,0.16,10/16
RI,0.16,11/16
RI,0.16,12/16
